Name: ruta2
Color: 255,1,1
709,328
732,349
777,338
812,311
850,307
876,315
881,290
943,255
956,267
983,259
1016,263
1056,255
1047,223
1028,196
1052,171
1067,139
1095,127
1128,145
1148,163
1195,156
1211,168
1212,169
1212,169
================================================
Name: ruta3
Color: 204,0,204
922,392
908,381
934,352
924,342
960,330
1011,343
1023,325
1055,319
1051,293
1049,259
1086,265
1109,263
1133,277
1142,257
1168,249
1158,216
1187,203
1211,207
================================================
Name: ruta4
Color: 255,60,0
780,94
808,101
820,95
855,121
890,115
912,127
939,134
954,146
948,165
960,178
974,201
1003,207
1004,226
979,247
988,260
1015,260
1046,256
1065,268
1079,276
1052,288
1056,319
1070,319
1101,331
1118,324
1123,305
1143,311
1149,289
1169,282
================================================
Name: New Orleans
Color: 1,1,255
1258,410
1282,395
1336,391
1331,364
1353,353
1331,320
1368,329
1361,307
1389,294
1374,266
1337,258
1317,241
1355,218
1404,221
1416,192
1403,154
1362,126
1336,133
1302,152
1299,118
1267,136
1230,135
1187,96
1158,83
1116,86
1084,94
================================================
